市区町村コード,居住地,目的地,距離,選択ルート備考,鉄道定期券利用者数
272094,守口市,守口市役所,9.2,国道1号ルート,6469
272230,門真市,門真市役所,11.7,国道1号ルート,5302
272299,四條畷市,四條畷市役所,16.1,国道1号ルート,4195
272159,寝屋川市,寝屋川市役所,17.4,国道1号ルート,11843
272302,交野市,交野市役所,22.1,国道1号ルート,4810
272108,枚方市,枚方市役所,25.4,国道1号ルート,20060
262111,京田辺市,京田辺市役所,33.5,国道1号ルート,3807
262102,八幡市,八幡市役所,35.6,国道1号ルート,1805
262048,宇治市,宇治市役所,39.2,国道1号ルート,3569
261009,京都市,京都市役所,50.8,国道1号ルート,22673
252018,大津市,大津市役所,62.2,国道1号ルート,5479
