目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,10.0,0.0,0.0,0.0,0,0,[]
守口市,9.2,9.23,10.0,3.55,0.0,3.55,1,0,[600.0]
門真市,11.7,11.7,10.0,4.5,0.0,4.5,1,0,[600.0]
四條畷市,16.1,16.12,10.0,6.2,0.0,6.2,1,0,[600.0]
寝屋川市,17.4,17.42,10.0,6.7,0.0,6.7,1,0,[600.0]
交野市,22.1,22.14,10.0,8.52,0.0,8.52,1,0,[600.0]
枚方市,25.4,25.44,10.0,9.78,0.0,9.78,1,0,[600.0]
京田辺市,33.5,33.54,10.0,12.9,14.0,26.9,2,1,"[600.0, 540.0]"
八幡市,35.6,35.62,10.0,13.7,14.0,27.7,2,1,"[600.0, 540.0]"
宇治市,39.2,39.22,10.0,15.08,14.0,29.08,2,1,"[600.0, 540.0]"
京都市,50.8,50.83,10.0,19.55,28.0,47.55,3,2,"[600.0, 540.0, 486.0]"
大津市,62.2,62.23,10.0,23.93,28.0,51.93,3,2,"[600.0, 540.0, 486.0]"
