目的地,移動1,休憩1,移動2,休憩2,移動3,休憩3
大阪市,0.0,0.0,0.0,0.0,0.0,0.0
守口市,3.55,0.0,0.0,0.0,0.0,0.0
門真市,4.5,0.0,0.0,0.0,0.0,0.0
四條畷市,6.2,0.0,0.0,0.0,0.0,0.0
寝屋川市,6.7,0.0,0.0,0.0,0.0,0.0
交野市,8.52,0.0,0.0,0.0,0.0,0.0
枚方市,9.78,0.0,0.0,0.0,0.0,0.0
京田辺市,10.0,14.0,2.9,0.0,0.0,0.0
八幡市,10.0,14.0,3.7,0.0,0.0,0.0
宇治市,10.0,14.0,5.08,0.0,0.0,0.0
京都市,10.0,14.0,9.0,14.0,0.55,0.0
大津市,10.0,14.0,9.0,14.0,4.93,0.0
