目的地,移動1,休憩1,移動2,休憩2
大阪市,0.0,0.0,0.0,0.0
守口市,3.3,0.0,0.0,0.0
門真市,4.18,0.0,0.0,0.0
四條畷市,5.77,0.0,0.0,0.0
寝屋川市,6.22,0.0,0.0,0.0
交野市,7.9,0.0,0.0,0.0
枚方市,9.08,0.0,0.0,0.0
京田辺市,11.97,0.0,0.0,0.0
八幡市,12.0,12.0,0.72,0.0
宇治市,12.0,12.0,2.0,0.0
京都市,12.0,12.0,6.15,0.0
大津市,12.0,12.0,10.22,0.0
