目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,8.0,0.0,0.0,0.0,0,0,[]
守口市,9.2,9.2,8.0,4.18,0.0,4.18,1,0,[480.0]
門真市,11.7,11.73,8.0,5.33,0.0,5.33,1,0,[480.0]
四條畷市,16.1,16.13,8.0,7.33,0.0,7.33,1,0,[480.0]
寝屋川市,17.4,17.42,8.0,7.92,0.0,7.92,1,0,[480.0]
交野市,22.1,22.11,8.0,10.05,16.0,26.05,2,1,"[480.0, 384.0]"
枚方市,25.4,25.41,8.0,11.55,16.0,27.55,2,1,"[480.0, 384.0]"
京田辺市,33.5,33.51,8.0,15.23,32.0,47.23,3,2,"[480.0, 384.0, 307.2]"
八幡市,35.6,35.6,8.0,16.18,32.0,48.18,3,2,"[480.0, 384.0, 307.2]"
宇治市,39.2,39.23,8.0,17.83,32.0,49.83,3,2,"[480.0, 384.0, 307.2]"
京都市,50.8,50.82,8.0,23.1,48.0,71.1,4,3,"[480.0, 384.0, 307.2, 245.76]"
大津市,62.2,62.22,8.0,28.28,80.0,108.28,6,5,"[480.0, 384.0, 307.2, 245.76, 196.608, 157.286]"
