目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,12.0,0.0,0.0,0.0,0,0,[]
守口市,9.2,9.24,12.0,3.3,0.0,3.3,1,0,[720.0]
門真市,11.7,11.71,12.0,4.18,0.0,4.18,1,0,[720.0]
四條畷市,16.1,16.15,12.0,5.77,0.0,5.77,1,0,[720.0]
寝屋川市,17.4,17.41,12.0,6.22,0.0,6.22,1,0,[720.0]
交野市,22.1,22.12,12.0,7.9,0.0,7.9,1,0,[720.0]
枚方市,25.4,25.43,12.0,9.08,0.0,9.08,1,0,[720.0]
京田辺市,33.5,33.51,12.0,11.97,0.0,11.97,1,0,[720.0]
八幡市,35.6,35.61,12.0,12.72,12.0,24.72,2,1,"[720.0, 720.0]"
宇治市,39.2,39.2,12.0,14.0,12.0,26.0,2,1,"[720.0, 720.0]"
京都市,50.8,50.82,12.0,18.15,12.0,30.15,2,1,"[720.0, 720.0]"
大津市,62.2,62.21,12.0,22.22,12.0,34.22,2,1,"[720.0, 720.0]"
