目的地,移動1,休憩1,移動2,休憩2,移動3,休憩3,移動4,休憩4,移動5,休憩5,移動6,休憩6
大阪市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
守口市,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
門真市,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
四條畷市,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
寝屋川市,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交野市,8.0,16.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
枚方市,8.0,16.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
京田辺市,8.0,16.0,6.4,16.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
八幡市,8.0,16.0,6.4,16.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宇治市,8.0,16.0,6.4,16.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
京都市,8.0,16.0,6.4,16.0,5.12,16.0,3.58,0.0,0.0,0.0,0.0,0.0
大津市,8.0,16.0,6.4,16.0,5.12,16.0,4.1,16.0,3.28,16.0,1.39,0.0
