目的地,移動1,休憩1,移動2,休憩2,移動3,休憩3
大阪市,0.0,0.0,0.0,0.0,0.0,0.0
吹田市,3.28,0.0,0.0,0.0,0.0,0.0
茨木市,6.55,0.0,0.0,0.0,0.0,0.0
高槻市,9.12,0.0,0.0,0.0,0.0,0.0
島本町,10.0,14.0,1.85,0.0,0.0,0.0
大山崎町,10.0,14.0,2.9,0.0,0.0,0.0
長岡京市,10.0,14.0,4.52,0.0,0.0,0.0
向日市,10.0,14.0,5.73,0.0,0.0,0.0
京都市,10.0,14.0,9.0,14.0,0.32,0.0
大津市,10.0,14.0,9.0,14.0,4.67,0.0
