目的地,移動1,休憩1,移動2,休憩2
大阪市,0.0,0.0,0.0,0.0
吹田市,3.05,0.0,0.0,0.0
茨木市,6.08,0.0,0.0,0.0
高槻市,8.47,0.0,0.0,0.0
島本町,11.0,0.0,0.0,0.0
大山崎町,11.97,0.0,0.0,0.0
長岡京市,12.0,12.0,1.47,0.0
向日市,12.0,12.0,2.62,0.0
京都市,12.0,12.0,5.93,0.0
大津市,12.0,12.0,9.97,0.0
