市区町村コード,居住地,目的地,距離,選択ルート備考,鉄道定期券利用者数
272051,吹田市,吹田市役所,8.3,大阪北部ルート,35287
272035,豊中市,豊中市役所,9.6,大阪北部ルート,30953
272043,池田市,池田市役所,15.9,大阪北部ルート,7767
272205,箕面市,箕面市役所,17.0,大阪北部ルート,7504
282171,川西市,川西市役所,17.6,大阪北部ルート,12335
