目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,12.0,0.0,0.0,0.0,0,0,[]
豊中市,9.7,9.71,12.0,3.47,0.0,3.47,1,0,[720.0]
池田市,18.9,18.95,12.0,6.77,0.0,6.77,1,0,[720.0]
川西市,20.5,20.53,12.0,7.33,0.0,7.33,1,0,[720.0]
伊丹市,21.0,21.0,12.0,7.5,0.0,7.5,1,0,[720.0]
宝塚市,24.2,24.22,12.0,8.65,0.0,8.65,1,0,[720.0]
