目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,8.0,0.0,0.0,0.0,0,0,[]
豊中市,9.7,9.72,8.0,4.42,0.0,4.42,1,0,[480.0]
池田市,18.9,18.92,8.0,8.6,16.0,24.6,2,1,"[480.0, 384.0]"
川西市,20.5,20.53,8.0,9.33,16.0,25.33,2,1,"[480.0, 384.0]"
伊丹市,21.0,21.01,8.0,9.55,16.0,25.55,2,1,"[480.0, 384.0]"
宝塚市,24.2,24.2,8.0,11.0,16.0,27.0,2,1,"[480.0, 384.0]"
