目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,10.0,0.0,0.0,0.0,0,0,[]
豊中市,9.7,9.71,10.0,3.73,0.0,3.73,1,0,[600.0]
池田市,18.9,18.94,10.0,7.28,0.0,7.28,1,0,[600.0]
川西市,20.5,20.54,10.0,7.9,0.0,7.9,1,0,[600.0]
伊丹市,21.0,21.02,10.0,8.08,0.0,8.08,1,0,[600.0]
宝塚市,24.2,24.22,10.0,9.32,0.0,9.32,1,0,[600.0]
