,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,神戸生田中学校,135.1856644,34.6899906,1.1274784889966887,神戸市中央区北長狭通4-10-1,593,国道2号_31
1,葺合公民館,135.20453500000002,34.694983,0.405628250495139,神戸市中央区真砂通2-1-1,96,国道2号_30
2,中央小学校,135.1996908,34.701742200000005,0.7140212651103848,神戸市中央区神若通7-1-1,580,国道2号_30
3,こうべ市民福祉交流センター,135.2017676,34.692863700000004,0.7356006242587485,神戸市中央区磯上通3-1-32,96,国道2号_30
4,葺合中学校,135.2032542,34.706844399999994,0.9844126773739299,神戸市中央区熊内町1-4-28,593,国道2号_30
5,宮本小学校,135.2117731,34.70671970000001,0.6318705876581294,神戸市中央区宮本通2-1-36,580,国道2号_29
6,なぎさ小学校,135.2110122,34.69774279999999,0.6984813886221757,神戸市中央区脇浜海岸通2-4-1,580,国道2号_29
7,筒井台中学校,135.2100675,34.7093111,0.9547749061161621,神戸市中央区野崎通1-1-3,593,国道2号_29
8,春日野小学校,135.206143,34.70566147,0.992007615577404,神戸市中央区宮本通7-1-6,580,国道2号_29
9,コミスタこうべ（生涯学習支援センター）,135.2046319,34.6982261,1.1548292445711215,神戸市中央区吾妻通4-1-6,96,国道2号_29
10,渚中学校,135.21756969999998,34.7004675,0.8859637399132784,神戸市中央区脇浜海岸通2-1-1,593,国道2号_28
11,福住小学校,135.2184924,34.7131542,1.0557521683229876,神戸市灘区福住通7-1-1,580,国道2号_28
12,科学技術高校,135.2135256,34.7043033,1.0741486461393426,神戸市中央区脇浜町1-4-70,391,国道2号_28
