,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,東舞子小学校,135.0364975,34.639349700000004,1.0225345386792764,神戸市垂水区舞子台4-10-1,580,国道2号_49
1,霞ヶ丘小学校,135.0427583,34.63337,0.7320719136134716,神戸市垂水区霞ヶ丘4-6-16,580,国道2号_48
2,歌敷山中学校,135.0412611,34.63639439999999,1.0843855064446828,神戸市垂水区歌敷山2-4-1,593,国道2号_48
3,垂水小学校,135.0558767,34.6315758,0.41778768890496715,神戸市垂水区日向2-4-6,580,国道2号_47
4,垂水体育館,135.0513052,34.6329709,0.831229811319014,神戸市垂水区旭ヶ丘2-1-22,96,国道2号_47
5,垂水年金会館,135.0590125,34.6280792,0.9791529017184822,神戸市垂水区平磯1-2-5,96,国道2号_46
6,兵庫県自治研修所,135.077551,34.633111,0.232770996590797,神戸市垂水区塩屋町5-3-1,96,国道2号_45
7,東垂水小学校,135.07118640000002,34.634825799999994,0.8465455654613686,神戸市垂水区王居殿2-5-25,580,国道2号_45
8,視覚特別支援学校,135.06928369999997,34.633196000000005,0.983818070599996,神戸市垂水区城が山4-2-1,96,国道2号_45
9,東垂水公民館,135.0684339,34.6368394,1.1629308006877348,神戸市垂水区東垂水1-1-1,96,国道2号_45
10,塩屋小学校,135.08131609999998,34.6379922,0.921706543204953,神戸市垂水区塩屋町3-18-1,428,国道2号_44
