,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,朝霧コミセン,135.02126299999998,34.651604999999996,1.0346214574629797,兵庫県明石市二見町5丁目7-1,25,国道2号_51
1,舞子小学校,135.0303701,34.6437937,0.7737734014477899,神戸市垂水区西舞子4-7-43,580,国道2号_50
2,東舞子小学校,135.0364975,34.639349700000004,1.0225345386792764,神戸市垂水区舞子台4-10-1,580,国道2号_49
3,霞ヶ丘小学校,135.0427583,34.63337,0.7320719136134716,神戸市垂水区霞ヶ丘4-6-16,580,国道2号_48
4,歌敷山中学校,135.0412611,34.63639439999999,1.0843855064446828,神戸市垂水区歌敷山2-4-1,593,国道2号_48
5,垂水小学校,135.0558767,34.6315758,0.41778768890496715,神戸市垂水区日向2-4-6,343,国道2号_47
