,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,安井小学校,135.334281,34.740107,0.33970354730915325,兵庫県西宮市安井町1-25,440,国道2号_17
1,安井市民館,135.333129,34.739546000000004,0.41426375603888843,兵庫県西宮市安井町2-4,30,国道2号_17
2,浜脇小学校,135.336373,34.732071999999995,0.7300026207435009,兵庫県西宮市浜脇町5-48,815,国道2号_17
3,浜脇公民館,135.337031,34.731783,0.7559455479131324,兵庫県西宮市浜脇町5-14,80,国道2号_17
4,浜脇中学校,135.334201,34.732338,0.7561595627369753,兵庫県西宮市宮前町3-5,535,国道2号_17
5,大社小学校,135.336475,34.746328000000005,0.8639601070736258,兵庫県西宮市桜谷町9-7,670,国道2号_17
6,夙川公民館,135.327868,34.740137,0.8987500229100659,兵庫県西宮市羽衣町1-39,35,国道2号_17
7,大社公民館,135.341267,34.747372999999996,1.0339825991017362,兵庫県西宮市柳本町1-37,75,国道2号_17
8,香櫨園市民館分館,135.326004,34.735743,1.0990890334360117,兵庫県西宮市屋敷町12-1,10,国道2号_17
9,教育文化センター,135.329823,34.730897,1.1054531525764328,兵庫県西宮市川添町15-26,80,国道2号_17
10,香櫨園市民センター,135.328354,34.731324,1.1622152339352616,兵庫県西宮市川西町4-5,45,国道2号_17
11,県立西宮香風高等学校,135.332529,34.728775,1.1798157435462158,兵庫県西宮市建石町7-43,310,国道2号_17
12,勤労会館,135.34506399999998,34.736243,0.3395724178793115,兵庫県西宮市松原町2-37,470,国道2号_16
13,中市民館,135.344089,34.743193,0.737271557290391,兵庫県西宮市中前田町8-11,25,国道2号_16
14,用海小学校,135.343872,34.731883,0.7558719493070446,兵庫県西宮市用海町3-54,560,国道2号_16
15,平木小学校,135.349513,34.745678999999996,0.9042452785530827,兵庫県西宮市平木町4-1,515,国道2号_16
16,平木中学校,135.34928,34.746367,0.978130806038986,兵庫県西宮市平木町6-19,550,国道2号_16
17,中央体育館,135.344805,34.747806,1.1812298060708908,兵庫県西宮市河原町1-16,445,国道2号_16
18,深津中学校,135.357799,34.739323999999996,0.3932317953136949,兵庫県西宮市深津町6-75,560,国道2号_15
19,深津小学校,135.357218,34.740379,0.521440343808812,兵庫県西宮市深津町5-22,440,国道2号_15
20,津門小学校,135.353894,34.732819,0.6021005867304081,兵庫県西宮市津門呉羽町5-13,545,国道2号_15
21,中央体育館分館,135.351399,34.740349,0.8657557441904781,兵庫県西宮市神祇官町2-6,185,国道2号_15
22,中央公民館,135.35700500000002,34.743932,0.9051174838642744,兵庫県西宮市高松町4-8,105,国道2号_15
23,若竹公民館,135.350788,34.740665,0.9317476966476372,兵庫県西宮市西福町15-12,130,国道2号_15
24,今津公民館,135.353391,34.728444,0.9930017326951103,兵庫県西宮市今津水波町9-28,70,国道2号_15
25,今津小学校,135.3535,34.727033,1.1233053598487555,兵庫県西宮市今津二葉町4-10,575,国道2号_15
26,今津中学校,135.35108,34.727608000000004,1.1921268644104452,兵庫県西宮市今津二葉町5-15,520,国道2号_15
27,上甲子園小学校,135.367946,34.736024,0.286752532551291,兵庫県西宮市甲子園口5丁目9-4,550,国道2号_14
28,瓦林公園センター,135.36574299999998,34.732411,0.42819813273612534,兵庫県西宮市上甲子園3丁目7-4,35,国道2号_14
29,上甲子園中学校,135.364349,34.733913,0.515354336901655,兵庫県西宮市上甲子園4丁目9-11,545,国道2号_14
30,甲子園口市民館,135.366457,34.737763,0.5224830739100981,兵庫県西宮市甲子園口6丁目6-20,25,国道2号_14
31,春風小学校,135.365207,34.730494,0.5887021420630164,兵庫県西宮市上甲子園3丁目8-39,600,国道2号_14
32,春風公民館,135.361285,34.730416,0.8922511168139262,兵庫県西宮市甲子園春風町2-21,75,国道2号_14
33,西宮養護学校,135.360649,34.730796999999995,0.927291485607214,兵庫県西宮市甲子園春風町2-29,330,国道2号_14
34,瓦木小学校,135.365926,34.743921,1.155626935599104,兵庫県西宮市大屋町10-20,460,国道2号_14
35,小松センター,135.378581,34.72502,0.7643734988129068,兵庫県西宮市小松北町2丁目4-1,25,国道2号_13
36,上甲子園公民館,135.373656,34.737699,0.9168920998788657,兵庫県西宮市甲子園口3丁目9-26,45,国道2号_13
37,上甲子園センター,135.373684,34.737902000000005,0.9315937223543879,兵庫県西宮市甲子園口3丁目9-3,40,国道2号_13
38,鳴尾北小学校,135.372604,34.725516999999996,1.0017847518334049,兵庫県西宮市学文殿町2丁目2-7,675,国道2号_13
39,学文中学校,135.374412,34.723925,1.031342662230245,兵庫県西宮市学文殿町1丁目5-7,545,国道2号_13
40,県立鳴尾高等学校,135.371015,34.726110999999996,1.0726582359079704,兵庫県西宮市学文殿町2丁目1-60,218,国道2号_13
