,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
105,教育文化センター,135.329823,34.730897,1.1054531525764328,兵庫県西宮市川添町15-26,160,国道2号_17
106,香櫨園市民センター,135.328354,34.731324,1.1622152339352616,兵庫県西宮市川西町4-5,90,国道2号_17
107,県立西宮香風高等学校,135.332529,34.728775,1.1798157435462158,兵庫県西宮市建石町7-43,620,国道2号_17
108,夙川西市民館,135.321085,34.738101,0.533214512570878,兵庫県西宮市大谷町3-50,40,国道2号_18
109,香櫨園小学校,135.325718,34.731935,0.57681868106501,兵庫県西宮市中浜町3-32,1260,国道2号_18
110,春日集会所,135.31921100000002,34.733269,0.8100652707600208,兵庫県芦屋市春日町13-17,30,国道2号_18
111,夙東市民館,135.330148,34.72885,0.9620645973644998,兵庫県西宮市川添町10-30,60,国道2号_18
112,市立精道中学校,135.320233,34.729636,1.0183156639472881,兵庫県芦屋市南宮町9-7,2630,国道2号_18
113,市立小槌幼稚園遊戯室,135.31473300000002,34.733441,1.1732298506038321,兵庫県芦屋市打出小槌町15-7,100,国道2号_18
114,市立宮川小学校,135.315122,34.729052,0.5899405969889491,兵庫県芦屋市浜町1-9,2260,国道2号_19
115,茶屋集会所,135.308437,34.730902,0.8089117399761027,兵庫県芦屋市茶屋之町8-20,30,国道2号_19
116,県立芦屋高等学校体育館,135.31034499999998,34.728413,0.8473675180129525,兵庫県芦屋市精道町1-1,600,国道2号_19
117,市立打出浜小学校,135.320899,34.725442,1.0691503999990701,兵庫県芦屋市新浜町8-2,3020,国道2号_19
118,竹園集会所,135.310137,34.725972,1.0794626345375327,兵庫県芦屋市竹園町5-6,30,国道2号_19
119,藤和ライブタウン芦屋呉川町ルミナンス,135.31186399999999,34.724894,1.1170249651682662,兵庫県芦屋市呉川町13-3,360,国道2号_19
120,海技大学校,135.314983,34.724247,1.1198264386227053,兵庫県芦屋市西蔵町12-24,500,国道2号_19
121,保健福祉センター,135.311992,34.724375,1.1669340721115526,兵庫県芦屋市呉川町14-9,1370,国道2号_19
122,市立精道小学校体育館,135.30578899999998,34.727247,0.5435715656100414,兵庫県芦屋市精道町8-25,350,国道2号_20
123,前田集会所,135.298507,34.731524,0.6585824623999827,兵庫県芦屋市前田町8-17,100,国道2号_20
124,市立体育館・青少年センター,135.300935,34.727075,0.709630628007472,兵庫県芦屋市川西町15-3,400,国道2号_20
125,芦屋パレスハイツ北館,135.30297099999999,34.724455,0.8879666628503943,兵庫県芦屋市平田町2-7,350,国道2号_20
126,市立西山幼稚園遊戯室,135.29851499999998,34.73792771,0.9161957226680322,兵庫県芦屋市西山町22-15,100,国道2号_20
127,芦屋パレスハイツ南館,135.30297019999998,34.7239536,0.9415557088000762,兵庫県芦屋市平田町2-8,350,国道2号_20
128,ロイヤル芦屋松浜,135.3080981,34.72217319,1.1286462474223906,兵庫県芦屋市松浜町8-18,710,国道2号_20
129,芦屋サンプラザ,135.3040233,34.72160786,1.178574000336876,兵庫県芦屋市平田町5-8,300,国道2号_20
130,東灘小学校,135.2944292,34.724816100000005,0.49184524330123564,神戸市東灘区深江北町2-4-1,1160,国道2号_21
131,甲南女子中・高校,135.2917292,34.7349206,0.7135494193138192,神戸市東灘区森北町5-6-1,943,国道2号_21
132,本山第三小学校,135.2864103,34.7280906,0.8212722843857194,神戸市東灘区本山中町1-2-35,1160,国道2号_21
133,神戸大学白鴎寮,135.2876408,34.7235202,0.9409429641828825,神戸市東灘区本山南町1-4-50,192,国道2号_21
134,甲南女子大学,135.28747099999998,34.734802,0.9477015149317811,神戸市東灘区森北町6-2-23,192,国道2号_21
135,本庄小学校,135.2888714,34.7211525,1.067741171604682,神戸市東灘区青木4-4-1,1160,国道2号_21
136,神戸薬科大学,135.2832689,34.733115000000005,1.1826718544865518,神戸市東灘区本山北町4-19-1,192,国道2号_21
137,本山南小学校,135.2824636,34.7235717,0.3427004286335918,神戸市東灘区本山南町8-2-1,1160,国道2号_22
138,本山第一小学校,135.27890559999997,34.7289433,0.6499901703972285,神戸市東灘区本山北町3-10-1,1160,国道2号_22
139,本庄中学校,135.2875439,34.7203025,0.6624311775387383,神戸市東灘区青木4-4-2,1186,国道2号_22
140,福池小学校,135.2787669,34.7212831,0.7621530725128832,神戸市東灘区本山南町4-4-28,1160,国道2号_22
141,神戸大学海事科学部,135.28835780000003,34.7187444,0.8505492858323791,神戸市東灘区深江南町5-1-1,192,国道2号_22
142,本山南中学校,135.2705342,34.723116100000006,0.38807376744270716,神戸市東灘区田中町4-12-1,1186,国道2号_23
143,本山中学校,135.27093969999999,34.7256325,0.4800261067072017,神戸市東灘区岡本3-3-1,1186,国道2号_23
