,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,須磨一の谷プラザ,135.10609219999998,34.6411794,0.3803054094330303,神戸市須磨区一ノ谷町5-2-1,96,国道2号_42
1,北須磨小学校,135.1152711,34.6526467,1.071842781029597,神戸市須磨区離宮西町2-1-1,580,国道2号_41
2,西須磨小学校,135.1204206,34.6466586,1.0052978299532298,神戸市須磨区行幸町3-4-18,580,国道2号_40
3,南須磨公民館,135.13332409999998,34.648816700000005,0.6341793311103869,神戸市須磨区青葉町2-2-3,96,国道2号_39
4,だいち小学校,135.13428330000002,34.654255299999996,0.6384635841716723,神戸市須磨区大池町5-1-52,580,国道2号_39
5,鷹取中学校,135.13260309999998,34.6479475,0.732413593200472,神戸市須磨区青葉町3-1-1,593,国道2号_39
6,若宮小学校,135.1314996,34.6463436,0.9075869077700291,神戸市須磨区若宮町2-1-21,580,国道2号_39
7,太田中学校,135.1329026,34.6576629,0.993720324258872,神戸市須磨区大黒町5-1-1,593,国道2号_39
8,須磨体育館,135.1289669,34.6507528,0.9954571950805993,神戸市須磨区中島町1-2-2,32,国道2号_39
