,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,烏帽子中学校,135.2376273,34.710671999999995,0.6556924842529849,神戸市灘区烏帽子町1-2-1,593,国道2号_26
1,灘小学校,135.23254609999998,34.713255600000004,1.0369110620586697,神戸市灘区千旦通1-5-1,580,国道2号_26
2,六甲小学校,135.2333847,34.7176856,1.0620454075958534,神戸市灘区八幡町4-4-1,580,国道2号_26
3,御影高校,135.250575,34.716960799999995,0.322871160626576,神戸市東灘区御影石町4-1-1,471,国道2号_25
4,御影小学校,135.2515083,34.714811100000006,0.33851733194579053,神戸市東灘区御影石町3-1-1,580,国道2号_25
5,御影公会堂,135.24925119999997,34.7160708,0.45559677693920975,神戸市東灘区御影石町4-4-1,96,国道2号_25
6,御影北小学校,135.2488056,34.7246294,0.9767223973092579,神戸市東灘区御影山手1-12-1,580,国道2号_25
7,鷹匠中学校,135.2438533,34.7201547,1.0021990785777757,神戸市灘区高徳町2-2-19,593,国道2号_25
8,成徳小学校,135.2422119,34.7156136,1.0995412280369816,神戸市灘区備後町1-3-1,580,国道2号_25
9,住之江公民館別館,135.2646774,34.7143023,0.5622599484846832,神戸市東灘区住吉宮町2-1-3,96,国道2号_24
10,住之江公民館,135.2636564,34.7139751,0.604331854711319,神戸市東灘区住吉宮町2-2-3,96,国道2号_24
11,住吉中学校,135.2587214,34.725862799999994,0.8978033648541754,神戸市東灘区住吉山手1-11-1,593,国道2号_24
12,呉田会館,135.2624866,34.7107873,0.9711008525158833,神戸市東灘区住吉南町4-6-23,96,国道2号_24
13,御影中学校,135.2535331,34.7159417,1.0803762690342278,神戸市東灘区御影中町5-1-1,593,国道2号_24
14,本山南中学校,135.2705342,34.723116100000006,0.38807376744270716,神戸市東灘区田中町4-12-1,593,国道2号_23
15,本山中学校,135.27093969999999,34.7256325,0.4800261067072017,神戸市東灘区岡本3-3-1,593,国道2号_23
16,本山第二小学校,135.2695758,34.7253269,0.5581416496493145,神戸市東灘区西岡本1-3-1,580,国道2号_23
17,灘中・高校,135.2684539,34.7191636,0.6928559290012657,神戸市東灘区魚崎北町8-5-1,471,国道2号_23
18,魚崎小学校,135.27125700000002,34.714966,0.9095771661108819,神戸市東灘区魚崎中町4-10-8,580,国道2号_23
19,東灘体育館,135.27811599999998,34.714665999999994,0.937994483081947,神戸市東灘区魚崎南町6-5-11,96,国道2号_23
20,甲南小学校,135.26399609999999,34.7222717,0.9843014934969022,神戸市東灘区住吉本町1-12-1,580,国道2号_23
21,甲南大学,135.2679925,34.729734,0.9996544129048468,神戸市東灘区岡本8-9-1,96,国道2号_23
22,友生支援学校住吉分校,135.2655489,34.7170611,1.0447855096810925,神戸市東灘区住吉東町4-1-58,96,国道2号_23
23,住吉小学校,135.264485,34.7175747,1.0943780631476858,神戸市東灘区住吉東町4-1-31,154,国道2号_23
