目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,10.0,0.0,0.0,0.0,0,0,[]
吹田市,8.3,8.32,10.0,3.2,0.0,3.2,1,0,[600.0]
豊中市,9.6,9.62,10.0,3.7,0.0,3.7,1,0,[600.0]
池田市,15.9,15.9,10.0,6.12,0.0,6.12,1,0,[600.0]
箕面市,17.0,17.03,10.0,6.55,0.0,6.55,1,0,[600.0]
川西市,17.6,17.64,10.0,6.78,0.0,6.78,1,0,[600.0]
