目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,8.0,0.0,0.0,0.0,0,0,[]
吹田市,8.3,8.32,8.0,3.78,0.0,3.78,1,0,[480.0]
豊中市,9.6,9.61,8.0,4.37,0.0,4.37,1,0,[480.0]
池田市,15.9,15.91,8.0,7.23,0.0,7.23,1,0,[480.0]
箕面市,17.0,17.01,8.0,7.73,0.0,7.73,1,0,[480.0]
川西市,17.6,17.64,8.0,8.02,0.0,8.02,1,0,[480.0]
