目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,12.0,0.0,0.0,0.0,0,0,[]
吹田市,8.3,8.31,12.0,2.97,0.0,2.97,1,0,[720.0]
豊中市,9.6,9.61,12.0,3.43,0.0,3.43,1,0,[720.0]
池田市,15.9,15.91,12.0,5.68,0.0,5.68,1,0,[720.0]
箕面市,17.0,17.03,12.0,6.08,0.0,6.08,1,0,[720.0]
川西市,17.6,17.64,12.0,6.3,0.0,6.3,1,0,[720.0]
