市区町村コード,居住地,目的地,距離,選択ルート備考,鉄道定期券利用者数
272035,豊中市,豊中市役所,9.7,宝塚市ルート,30953
272043,池田市,池田市役所,18.9,宝塚市ルート,7767
282171,川西市,川西市役所,20.5,宝塚市ルート,12335
282073,伊丹市,伊丹市役所,21.0,宝塚市ルート,10172
282146,宝塚市,宝塚市役所,24.2,宝塚市ルート,13792
