OBJECTID,市区町村コード,施設名,住所,避難施設の種類,収容人数,緯度,経度
188,28108,視覚特別支援学校,神戸市垂水区城が山4-2-1,緊急避難場所,192,34.633196,135.0692837
189,28108,東垂水公民館,神戸市垂水区東垂水1-1-1,緊急避難場所,192,34.6368394,135.0684339
190,28108,垂水小学校,神戸市垂水区日向2-4-6,緊急避難場所,1160,34.6315758,135.0558767
191,28108,垂水年金会館,神戸市垂水区平磯1-2-5,緊急避難場所,192,34.6280792,135.0590125
192,28108,垂水体育館,神戸市垂水区旭ヶ丘2-1-22,緊急避難場所,192,34.6329709,135.0513052
193,28108,霞ヶ丘小学校,神戸市垂水区霞ヶ丘4-6-16,緊急避難場所,1160,34.63337,135.0427583
194,28108,歌敷山中学校,神戸市垂水区歌敷山2-4-1,緊急避難場所,1186,34.6363944,135.0412611
195,28108,東舞子小学校,神戸市垂水区舞子台4-10-1,緊急避難場所,1160,34.6393497,135.0364975
196,28108,舞子小学校,神戸市垂水区西舞子4-7-43,緊急避難場所,1160,34.6437937,135.0303701
197,28110,筒井台中学校,神戸市中央区野崎通1-1-3,緊急避難場所,1186,34.7093111,135.2100675
198,28110,宮本小学校,神戸市中央区宮本通2-1-36,緊急避難場所,1160,34.7067197,135.2117731
199,28110,科学技術高校,神戸市中央区脇浜町1-4-70,緊急避難場所,943,34.7043033,135.2135256
200,28110,葺合中学校,神戸市中央区熊内町1-4-28,緊急避難場所,1186,34.7068444,135.2032542
201,28110,春日野小学校,神戸市中央区宮本通7-1-6,緊急避難場所,1160,34.70566147,135.206143
202,28110,なぎさ小学校,神戸市中央区脇浜海岸通2-4-1,緊急避難場所,1160,34.6977428,135.2110122
203,28110,渚中学校,神戸市中央区脇浜海岸通2-1-1,緊急避難場所,1186,34.7004675,135.2175697
204,28110,中央小学校,神戸市中央区神若通7-1-1,緊急避難場所,1160,34.7017422,135.1996908
205,28110,コミスタこうべ（生涯学習支援センター）,神戸市中央区吾妻通4-1-6,緊急避難場所,192,34.6982261,135.2046319
206,28110,葺合公民館,神戸市中央区真砂通2-1-1,緊急避難場所,192,34.694983,135.204535
207,28110,勤労会館,神戸市中央区雲井通5-1-2,緊急避難場所,192,34.6949431,135.19738
208,28110,こうべ市民福祉交流センター,神戸市中央区磯上通3-1-32,緊急避難場所,192,34.6928637,135.2017676
209,28110,こうべ小学校,神戸市中央区中山手通4-23-2,緊急避難場所,1160,34.6935569,135.18247
210,28110,神戸生田中学校,神戸市中央区北長狭通4-10-1,緊急避難場所,1186,34.6899906,135.1856644
211,28110,中央図書館,神戸市中央区楠町7-2-1,緊急避難場所,192,34.6856249,135.1741492
212,28110,湊翔楠中学校,神戸市中央区楠町4-2-5,緊急避難場所,1186,34.6839972,135.1716466
213,28110,中央体育館,神戸市中央区楠町4-1-1,緊急避難場所,192,34.6827886,135.1744294
214,28110,湊小学校,神戸市中央区東川崎町1-4-1,緊急避難場所,1160,34.6768975,135.1808511
215,28110,産業振興センター,神戸市中央区東川崎1-8-4,緊急避難場所,192,34.6806028,135.1817956
216,28110,こうべまちづくり会館,神戸市中央区元町通4-2-14,緊急避難場所,192,34.6860973,135.1829065
217,28111,枝吉小学校,神戸市西区技吉2-95,緊急避難場所,1160,34.6647678,134.9778628
218,28202,コーナン杭瀬店,兵庫県尼崎市梶ｹ島19-1,一時避難施設,4950,34.71778791,135.4430466
219,28202,コーナン尼崎道意町店,兵庫県尼崎市道意町7丁目1,一時避難施設,7600,34.71573457,135.3981949
220,28202,県立尼崎工業高等学校,兵庫県尼崎市長洲中通1丁目13-1,避難場所,440,34.72645719,135.4343257
221,28202,県立尼崎高等学校,兵庫県尼崎市北大物町18-1,避難場所,730,34.722083,135.425947
222,28202,県立尼崎小田高等学校,兵庫県尼崎市長洲中通2丁目17-46,避難場所,650,34.724221,135.43364
223,28202,県立尼崎西高等学校,兵庫県尼崎市大島2丁目34-1,避難場所,640,34.726831,135.385006
224,28202,県立武庫荘総合高等学校,兵庫県尼崎市武庫之荘8丁目31-1,避難場所,700,34.764521,135.386338
225,28202,市立浦風小学校,兵庫県尼崎市杭瀬南新町4丁目1-34,避難場所,700,34.719194,135.433501
226,28202,市立金楽寺小学校,兵庫県尼崎市金楽寺町2丁目3-1,避難場所,770,34.726693,135.42503
227,28202,市立啓明中学校,兵庫県尼崎市大庄西町4丁目4-1,避難場所,710,34.718026,135.389617
228,28202,市立杭瀬小学校,兵庫県尼崎市杭瀬北新町2丁目6-1,避難場所,520,34.722971,135.438473
229,28202,市立今北総合センター,兵庫県尼崎市西立花町3丁目14-1,避難場所,150,34.734434,135.395355
230,28202,市立七松小学校,兵庫県尼崎市南七松町1丁目4-49,避難場所,970,34.732525,135.402559
231,28202,市立若葉小学校,兵庫県尼崎市道意町6丁目6-3,避難場所,610,34.714305,135.393755
232,28202,市立城内高等学校,兵庫県尼崎市北城内47-1,避難場所,840,34.716,135.420003
233,28202,市立常陽中学校,兵庫県尼崎市西昆陽1丁目26-26,避難場所,970,34.767604,135.380421
234,28202,市立成徳小学校,兵庫県尼崎市蓬川町302-2,避難場所,700,34.720388,135.398505
235,28202,市立成文小学校,兵庫県尼崎市大島2丁目33-1,避難場所,750,34.726498,135.385172
236,28202,市立成良中学校,兵庫県尼崎市西長洲町2丁目33-22,避難場所,910,34.72186477,135.4214864
237,28202,市立西小学校,兵庫県尼崎市武庫川町1丁目25,避難場所,900,34.715499,135.389006
238,28202,市立大庄小学校,兵庫県尼崎市大庄中通4丁目43-1,避難場所,1130,34.72211,135.391644
239,28202,市立大庄中学校,兵庫県尼崎市菜切山町37,避難場所,740,34.72409584,135.3939558
240,28202,市立大庄北中学校,兵庫県尼崎市大庄北1丁目8-1,避難場所,930,34.731192,135.395143
241,28202,市立大島小学校,兵庫県尼崎市稲葉荘2丁目10-7,避難場所,990,34.733775,135.385561
242,28202,市立竹谷小学校,兵庫県尼崎市北竹谷町2丁目36,避難場所,790,34.720916,135.405865
243,28202,市立中央地区会館,兵庫県尼崎市西御園町93番地,避難場所,240,34.718913,135.413081
244,28202,市立長洲小学校,兵庫県尼崎市長洲東通3丁目7-1,避難場所,820,34.721666,135.432835
245,28202,市立難波小学校,兵庫県尼崎市東難波町4丁目3-40,避難場所,950,34.724582,135.41017
246,28202,市立尼崎工業高等学校,兵庫県尼崎市東難波町2丁目17-64,避難場所,200,34.73062007,135.413031
247,28202,市立梅香小学校,兵庫県尼崎市東難波町2丁目14-44,避難場所,900,34.73072,135.410892
248,28202,市立浜田小学校,兵庫県尼崎市浜田町3丁目110,避難場所,1070,34.729081,135.396255
249,28202,市立武庫の里小学校,兵庫県尼崎市武庫の里1丁目4-1,避難場所,980,34.759522,135.383727
250,28202,市立武庫小学校,兵庫県尼崎市武庫元町2丁目25-34,避難場所,1210,34.759605,135.380977
251,28202,市立武庫中学校,兵庫県尼崎市武庫元町2丁目24-30,避難場所,1180,34.759716,135.379699
252,28202,市立武庫東小学校,兵庫県尼崎市武庫之荘6丁目15-1,避難場所,1060,34.761688,135.387588
253,28202,市立武庫北小学校,兵庫県尼崎市常松2丁目14-1,避難場所,1260,34.769104,135.377505
254,28202,市立北難波小学校,兵庫県尼崎市西難波町6丁目14-57,避難場所,760,34.731276,135.407642
255,28202,市立明城小学校,兵庫県尼崎市南城内10-1,避難場所,850,34.714417,135.419947
256,28202,尼崎モーターボート競走場（ファン通路・９号館デッキ）,兵庫県尼崎市水明町199番地の1,一時避難施設,776,34.719538,135.394016
257,28203,衣川中学校,兵庫県明石市南王子町7-1,避難施設,250,34.646584,134.98043
258,28203,王子小学校,兵庫県明石市王子1丁目1-1,避難施設,150,34.656361,134.983235
259,28203,花園小学校,兵庫県明石市西明石南町1丁目1-10,避難施設,150,34.662443,134.963236
260,28203,貴崎小学校,兵庫県明石市貴崎5丁目5-52,避難施設,150,34.65686,134.961237
261,28203,人丸小学校,兵庫県明石市東人丸町26-29,避難施設,220,34.650251,135.00515
262,28203,大観小学校,兵庫県明石市大明石町2丁目8-30,避難施設,150,34.649167,134.985429
263,28203,中崎小学校,兵庫県明石市中崎1丁目4-1,避難施設,150,34.642696,134.999373
264,28203,朝霧コミセン,兵庫県明石市二見町5丁目7-1,避難施設,50,34.651605,135.021263
265,28203,鳥羽小学校,兵庫県明石市西明石北町2丁目2-1,避難施設,150,34.670387,134.965903
266,28203,望海中学校,兵庫県明石市西明石南町1丁目1-33,避難施設,250,34.662443,134.962153
267,28203,明石小学校,兵庫県明石市山下町12-21,避難施設,150,34.650167,134.99504
268,28203,林小学校,兵庫県明石市林崎町1丁目8-10,避難施設,200,34.648528,134.971625
269,28203,和坂小学校,兵庫県明石市和坂2丁目12-1,避難施設,150,34.661999,134.970819
270,28204,鳴尾小学校,兵庫県西宮市鳴尾町5丁目4-6,指定避難所,1370,34.719176,135.368171
271,28204,鳴尾東小学校,兵庫県西宮市笠屋町30-50,指定避難所,990,34.712098,135.373168
272,28204,甲子園浜小学校,兵庫県西宮市古川町1-65,指定避難所,1330,34.712907,135.366005
273,28204,南甲子園小学校,兵庫県西宮市南甲子園3丁目9-16,指定避難所,1410,34.719098,135.353172
274,28204,鳴尾中学校,兵庫県西宮市甲子園八番町1-26,指定避難所,1190,34.71882,135.365241
275,28204,浜甲子園中学校,兵庫県西宮市古川町2-60,指定避難所,1130,34.713968,135.369016
