市区町村コード,居住地,目的地,距離,選択ルート備考,鉄道定期券利用者数
282022,尼崎市,尼崎市役所,10.5,国道2号ルート,29889
282049,西宮市,西宮市役所,15.6,国道2号ルート,38407
282065,芦屋市,芦屋市役所,19.7,国道2号ルート,6369
281018,神戸市東灘区,東灘区役所,22.8,国道2号ルート,11488
281026,神戸市灘区,灘区役所,25.3,国道2号ルート,5215
281107,神戸市中央区,中央区役所,30.1,国道2号ルート,4247
281051,神戸市兵庫区,兵庫区役所,34.0,国道2号ルート,2077
281069,神戸市長田区,長田区役所,35.2,国道2号ルート,1935
281077,神戸市須磨区,須磨区役所,37.3,国道2号ルート,4613
281085,神戸市垂水区,垂水区役所,45.4,国道2号ルート,3995
282031,明石市,明石市役所,52.7,国道2号ルート,6418
281115,神戸市西区,西区役所,57.4,国道2号ルート,4070
