目的地,移動1,休憩1,移動2,休憩2
大阪市,0.0,0.0,0.0,0.0
尼崎市,3.77,0.0,0.0,0.0
西宮市,5.58,0.0,0.0,0.0
芦屋市,7.05,0.0,0.0,0.0
神戸市東灘区,8.15,0.0,0.0,0.0
神戸市灘区,9.05,0.0,0.0,0.0
神戸市中央区,10.75,0.0,0.0,0.0
神戸市兵庫区,12.0,12.0,0.15,0.0
神戸市長田区,12.0,12.0,0.58,0.0
神戸市須磨区,12.0,12.0,1.33,0.0
神戸市垂水区,12.0,12.0,4.22,0.0
明石市,12.0,12.0,6.83,0.0
神戸市西区,12.0,12.0,8.52,0.0
