目的地,移動1,休憩1,移動2,休憩2,移動3,休憩3
大阪市,0.0,0.0,0.0,0.0,0.0,0.0
尼崎市,4.05,0.0,0.0,0.0,0.0,0.0
西宮市,6.0,0.0,0.0,0.0,0.0,0.0
芦屋市,7.58,0.0,0.0,0.0,0.0,0.0
神戸市東灘区,8.78,0.0,0.0,0.0,0.0,0.0
神戸市灘区,9.73,0.0,0.0,0.0,0.0,0.0
神戸市中央区,10.0,14.0,1.58,0.0,0.0,0.0
神戸市兵庫区,10.0,14.0,3.08,0.0,0.0,0.0
神戸市長田区,10.0,14.0,3.55,0.0,0.0,0.0
神戸市須磨区,10.0,14.0,4.35,0.0,0.0,0.0
神戸市垂水区,10.0,14.0,7.47,0.0,0.0,0.0
明石市,10.0,14.0,9.0,14.0,1.28,0.0
神戸市西区,10.0,14.0,9.0,14.0,3.08,0.0
